,block,schooldist,council,zipcode,bldgclass,landuse,lotarea,bldgarea,numfloors,unitstotal,assesstot,yearbuilt,longitude,latitude,Cluster
716025,994,2.0,3.0,10036.0,O4,5.0,22448.0,1079378.0,48.0,70.0,270602100.0,2002.0,-73.9868868,40.7555193,3
717710,1012,2.0,3.0,10036.0,RI,5.0,79000.0,1259189.0,52.0,57.0,282183312.0,2003.0,-73.9897166,40.7559285,3
717756,1014,2.0,3.0,10036.0,O4,5.0,29630.0,855000.0,32.0,2.0,193329900.0,1999.0,-73.9870671,40.7565705,0
718133,149,13.0,33.0,11201.0,RM,4.0,113202.0,1137013.0,50.0,695.0,122122353.0,2011.0,-73.9832108,40.6902676,1
718770,2176,14.0,33.0,11249.0,D6,4.0,116000.0,353308.0,21.0,374.0,11970000.0,1964.0,-73.9637055,40.7050492,1
718781,2107,6.0,7.0,10032.0,D3,3.0,88666.0,150236.0,22.0,170.0,4592700.0,1966.0,-73.9417557,40.8321683,2
718816,1554,2.0,5.0,10128.0,D4,3.0,10000.0,244249.0,32.0,111.0,28903500.0,2007.0,-73.9472208,40.7803835,2
718831,1980,5.0,7.0,10027.0,D9,3.0,315121.0,1083012.0,21.0,1128.0,45652950.0,1955.0,-73.9579094,40.8138297,2
718970,245,1.0,1.0,10002.0,D6,4.0,31654.0,277260.0,27.0,252.0,23811300.0,1975.0,-73.9862139,40.7108812,2
719376,2001,5.0,7.0,10031.0,W1,8.0,238056.0,177232.0,35.0,1.0,22133700.0,1975.0,-73.9568361,40.8198265,0
719386,1013,2.0,3.0,10036.0,O4,5.0,27156.0,1100000.0,38.0,4.0,237406950.0,2000.0,-73.9875726,40.7558569,0
723127,84,2.0,1.0,10007.0,O4,5.0,47250.0,1636000.0,52.0,59.0,201779550.0,2006.0,-74.0118748,40.7133325,3
723231,1292,2.0,4.0,10022.0,RM,4.0,19450.0,626593.0,58.0,232.0,196055508.0,1983.0,-73.9738937,40.7623103,3
723232,969,2.0,4.0,10016.0,R4,3.0,14868.0,413297.0,43.0,411.0,68910329.0,1989.0,-73.9712296,40.7456902,2
723600,21,30.0,26.0,11109.0,D8,3.0,56547.0,483973.0,25.0,595.0,56115900.0,2012.0,-73.9570563,40.7473409,1
725506,1514,2.0,4.0,10028.0,D4,3.0,13690.0,211406.0,30.0,162.0,22852800.0,1971.0,-73.956624,40.7794844,2
727666,1311,2.0,4.0,10022.0,H7,3.0,16066.0,244619.0,22.0,1.0,16266150.0,1927.0,-73.9703459,40.7608053,2
728812,21,30.0,26.0,11109.0,D7,4.0,22558.0,311266.0,32.0,346.0,36970650.0,2011.0,-73.9571425,40.7480436,1
729374,1309,2.0,4.0,10022.0,O4,5.0,16905.0,516710.0,36.0,35.0,70830000.0,1983.0,-73.9690943,40.7587025,0
729376,841,2.0,4.0,10018.0,H1,5.0,7604.0,124035.0,23.0,1.0,14261400.0,1924.0,-73.9838086,40.7527851,0
730082,267,30.0,26.0,11101.0,D8,3.0,25600.0,259805.0,26.0,284.0,21398400.0,2015.0,-73.940463,40.7463509,1
730100,268,30.0,26.0,11101.0,D6,4.0,7980.0,142849.0,27.0,169.0,11398500.0,2016.0,-73.9417438,40.7467907,1
730225,1023,2.0,4.0,10019.0,H3,5.0,33266.0,461591.0,22.0,14.0,66749400.0,1963.0,-73.9830086,40.7622077,0
730226,1282,2.0,4.0,10017.0,O4,5.0,38160.0,821165.0,32.0,4.0,175204350.0,1953.0,-73.9776537,40.7558198,0
730231,1004,2.0,4.0,10019.0,O4,5.0,80333.0,1613847.0,39.0,77.0,341739450.0,1961.0,-73.9805325,40.7611643,0
730232,1005,2.0,4.0,10019.0,H1,5.0,60775.0,1172021.0,49.0,13.0,127525950.0,1960.0,-73.9814816,40.7623886,3
730235,1285,2.0,4.0,10017.0,O4,5.0,34050.0,645483.0,25.0,6.0,221919750.0,1954.0,-73.9747079,40.7570488,0
730262,1310,2.0,4.0,10022.0,H3,5.0,3766.0,140559.0,36.0,1.0,8860050.0,1982.0,-73.9704041,40.7600093,0
730425,828,2.0,3.0,10001.0,D8,3.0,31228.0,454538.0,39.0,398.0,67450500.0,2000.0,-73.9907721,40.7449139,2
730607,1171,3.0,6.0,10069.0,RM,4.0,38278.0,544302.0,46.0,362.0,86033134.0,1997.0,-73.9876621,40.7789896,3
730608,1171,3.0,6.0,10069.0,RM,4.0,47573.0,634695.0,48.0,617.0,96508091.0,2000.0,-73.9872756,40.7797499,3
732078,995,2.0,3.0,10036.0,K4,4.0,5400.0,111653.0,22.0,1.0,35419050.0,1908.0,-73.986533,40.7561972,2
732934,3360,28.0,29.0,11415.0,RM,4.0,52776.0,610764.0,27.0,423.0,25108201.0,1960.0,-73.8266176,40.7119125,1
733923,216,2.0,1.0,10013.0,O9,5.0,172327.0,1594289.0,39.0,2.0,294033150.0,1989.0,-74.0110031,40.7208642,0
733930,56,2.0,1.0,10006.0,H2,5.0,10927.0,181297.0,21.0,1.0,17541000.0,1931.0,-74.0139735,40.7098464,0
733931,56,2.0,1.0,10006.0,D5,3.0,16980.0,357001.0,24.0,411.0,43284150.0,1908.0,-74.0142584,40.7099919,2
735236,152,13.0,33.0,11201.0,RM,4.0,20103.0,405981.0,53.0,374.0,47525403.0,2012.0,-73.9857347,40.6916513,1
735335,1374,2.0,4.0,10022.0,RC,5.0,13406.0,304595.0,24.0,39.0,51129921.0,1985.0,-73.9706516,40.7635144,0
735389,76,2.0,1.0,10038.0,RM,4.0,29668.0,388570.0,25.0,441.0,47609168.0,2003.0,-74.0060199,40.7082716,2
735397,1513,2.0,5.0,10028.0,RM,4.0,17776.0,272113.0,36.0,222.0,40030827.0,1987.0,-73.9552313,40.7778754,2
735405,855,2.0,2.0,10010.0,RM,4.0,9890.0,116577.0,41.0,127.0,18333917.0,1987.0,-73.9861641,40.7420232,3
735412,69,2.0,1.0,10038.0,RM,4.0,14851.0,344914.0,29.0,222.0,30336750.0,1931.0,-74.0064996,40.7079093,2
735414,1519,2.0,5.0,10128.0,RM,4.0,8018.0,178063.0,30.0,134.0,24796800.0,2003.0,-73.9522534,40.7816894,2
735419,2080,28.0,29.0,11374.0,RM,4.0,305550.0,1593212.0,21.0,315.0,111473550.0,2008.0,-73.863031,40.7331265,1
735421,1550,2.0,5.0,10128.0,RM,4.0,10953.0,212760.0,46.0,163.0,38180708.0,1988.0,-73.9489558,40.7781418,3
735433,100,2.0,1.0,10038.0,RM,4.0,41370.0,900766.0,76.0,902.0,144737100.0,2007.0,-74.0056775,40.7109698,3
735439,90,2.0,1.0,10038.0,RM,4.0,20080.0,276599.0,46.0,69.0,39731854.0,1883.0,-74.0069616,40.7111453,3
736101,2111,15.0,35.0,11217.0,RM,4.0,20263.0,273186.0,41.0,197.0,24047686.0,1929.0,-73.9777242,40.68551,1
736214,1631,4.0,8.0,10029.0,RM,4.0,9127.0,109737.0,23.0,74.0,10454408.0,2016.0,-73.9486676,40.7912725,2
736725,11,2.0,1.0,10004.0,H2,5.0,3807.0,59410.0,27.0,1.0,13348013.0,2016.0,-74.0122375,40.7042007,0
736734,19,2.0,1.0,10006.0,HB,5.0,3758.0,74373.0,29.0,1.0,4635900.0,2019.0,-74.0132985,40.7077632,0
736740,43,2.0,1.0,10005.0,O4,5.0,34360.0,1061286.0,63.0,1.0,58438800.0,1930.0,-74.0097348,40.7070143,3
736749,144,2.0,1.0,10013.0,O4,5.0,52439.0,802000.0,23.0,144.0,153944550.0,1930.0,-74.0083403,40.7176558,0
736755,76,2.0,1.0,10038.0,D7,4.0,8537.0,101542.0,23.0,121.0,12253050.0,2015.0,-74.0051687,40.7085242,2
738362,804,2.0,3.0,10001.0,H2,5.0,5925.0,80122.0,26.0,1.0,15932700.0,2006.0,-73.991407,40.7469753,0
738468,1425,2.0,4.0,10021.0,D6,4.0,43000.0,488474.0,35.0,274.0,44429400.0,1975.0,-73.9605446,40.7684053,2
